,date,sitename,parameter,units,value,period,aqi_value,aqi_category,fips
545,02/19/20,Sand Mountain,OZONE-1HR,PPB,35.0,1,-999,-999,01049
546,02/19/20,Sand Mountain,OZONE-8HR,PPB,29.0,8,27,0,01049
547,02/19/20,NO. BHAM,OZONE-1HR,PPB,29.0,1,-999,-999,01073
548,02/19/20,NO. BHAM,OZONE-8HR,PPB,25.0,8,23,0,01073
549,02/19/20,NO. BHAM,PM10-24hr,UG/M3,12.0,24,11,0,01073
550,02/19/20,MCADORY,PM2.5-24hr,UG/M3,4.4,24,19,0,01073
551,02/19/20,WYLAM,PM10-24hr,UG/M3,7.0,24,7,0,01073
552,02/19/20,WYLAM,PM2.5-24hr,UG/M3,6.2,24,26,0,01073
553,02/19/20,CORNER,PM2.5-24hr,UG/M3,6.1,24,25,0,01073
554,02/19/20,Huntsville Old Airport,PM2.5-24hr,UG/M3,7.2,24,30,0,01089
859,02/19/20,Garden,CO-8hr,PPM,0.8,1,9,0,02020
860,02/19/20,Garden,PM10-24hr,UG/M3,1.0,24,2,0,02020
861,02/19/20,Garden,PM2.5-24hr,UG/M3,1.5,24,7,0,02020
862,02/19/20,Parkgate (Eagle River),PM10-24hr,UG/M3,0.0,24,0,0,02020
874,02/19/20,Bethel,PM2.5-24hr,UG/M3,6.4,24,27,0,02050
875,02/19/20,Denali NPP,OZONE-1HR,PPB,46.0,1,-999,-999,02068
876,02/19/20,Denali NPP,OZONE-8HR,PPB,41.0,8,38,0,02068
877,02/19/20,NCore,CO-8hr,PPM,0.35,1,4,0,02090
878,02/19/20,NCore,OZONE-1HR,PPB,29.0,1,-999,-999,02090
879,02/19/20,NCore,PM10-24hr,UG/M3,13.0,24,12,0,02090
880,02/19/20,NCore,PM2.5-24hr,UG/M3,3.2,24,14,0,02090
881,02/19/20,NCore,SO2-24HR,PPB,2.0,24,-999,-999,02090
882,02/19/20,Hurst Road,PM2.5-24hr,UG/M3,5.1,24,21,0,02090
883,02/19/20,Floyd Dryden,PM10-24hr,UG/M3,1.0,24,2,0,02110
884,02/19/20,Floyd Dryden,PM2.5-24hr,UG/M3,1.2,24,5,0,02110
900,02/19/20,Butte (Harrison Court),PM10-24hr,UG/M3,1.0,24,2,0,02170
1296,02/19/20,Paul Spur Chemical Lime Plant,PM10-24hr,UG/M3,5.0,24,5,0,04003
1297,02/19/20,Douglas Red Cross,PM10-24hr,UG/M3,28.0,24,27,0,04003
1298,02/19/20,Chiricahua NM,OZONE-1HR,PPB,46.0,1,-999,-999,04003
1299,02/19/20,Chiricahua NM,OZONE-8HR,PPB,43.0,8,40,0,04003
1300,02/19/20,Flagstaff Middle School,OZONE-1HR,PPB,52.0,1,-999,-999,04005
1301,02/19/20,Flagstaff Middle School,OZONE-8HR,PPB,51.0,8,47,0,04005
1302,02/19/20,Grand Canyon NP,OZONE-1HR,PPB,46.0,1,-999,-999,04005
1303,02/19/20,Grand Canyon NP,OZONE-8HR,PPB,45.0,8,42,0,04005
1304,02/19/20,Payson Well Site,PM10-24hr,UG/M3,33.0,24,31,0,04007
1305,02/19/20,Tonto National Monument,OZONE-1HR,PPB,57.0,1,-999,-999,04007
1306,02/19/20,Tonto National Monument,OZONE-8HR,PPB,53.0,8,49,0,04007
1307,02/19/20,Miami Jones Ranch,SO2-24HR,PPB,4.0,24,-999,-999,04007
1308,02/19/20,Miami Town Site,SO2-24HR,PPB,1.0,24,-999,-999,04007
1309,02/19/20,Hayden,PM10-24hr,UG/M3,14.0,24,13,0,04007
1310,02/19/20,Hayden,SO2-24HR,PPB,1.0,24,-999,-999,04007
1311,02/19/20,Miami Golf Course,PM10-24hr,UG/M3,25.0,24,24,0,04007
1322,02/19/20,Alamo Lake,OZONE-1HR,PPB,52.0,1,-999,-999,04012
1323,02/19/20,Alamo Lake,OZONE-8HR,PPB,49.0,8,45,0,04012
1324,02/19/20,Alamo Lake,PM10-24hr,UG/M3,13.0,24,12,0,04012
1325,02/19/20,Alamo Lake,PM2.5-24hr,UG/M3,5.4,24,23,0,04012
1385,02/19/20,StJohns,PM10-24hr,UG/M3,26.0,24,24,0,04013
1387,02/19/20,Senior Center,OZONE-1HR,PPB,58.0,1,-999,-999,04013
1388,02/19/20,Senior Center,OZONE-8HR,PPB,50.0,8,46,0,04013
1389,02/19/20,Senior Center,PM10-24hr,UG/M3,21.0,24,19,0,04013
1390,02/19/20,Red Mountain,OZONE-1HR,PPB,58.0,1,-999,-999,04013
1391,02/19/20,Red Mountain,OZONE-8HR,PPB,51.0,8,47,0,04013
1392,02/19/20,LEHI,OZONE-1HR,PPB,60.0,1,-999,-999,04013
1393,02/19/20,LEHI,OZONE-8HR,PPB,52.0,8,48,0,04013
1394,02/19/20,LEHI,PM10-24hr,UG/M3,20.0,24,19,0,04013
