,date,sitename,value,aqi_value,aqi_category,fips
11,2020-01-02,Garden,1.33,15,0,02020
19,2020-01-02,NCore,0.5,6,0,02090
62,2020-01-02,Phoenix JLG Supersite,1.05,12,0,04013
132,2020-01-02,Oakland,0.81,9,0,06001
136,2020-01-02,Oakland West,0.95,11,0,06001
141,2020-01-02,Laney College,1.08,12,0,06001
143,2020-01-02,Berkeley Aquatic Park,1.02,12,0,06001
147,2020-01-02,Pleasanton - Owens Ct.,0.78,9,0,06001
155,2020-01-02,Chico -  East,0.54,6,0,06007
170,2020-01-02,Concord,0.67,8,0,06013
176,2020-01-02,Bethel Island,0.75,9,0,06013
180,2020-01-02,San Pablo - Rumrill,0.46,5,0,06013
192,2020-01-02,Fresno - Garland,1.17,13,0,06019
204,2020-01-02,Clovis - N. Villa Ave,0.64,7,0,06019
213,2020-01-02,Calexico - Ethel Street,0.93,11,0,06025
229,2020-01-02,NCore - White Mountain Research Station - OVL,0.11,1,0,06027
262,2020-01-02,Bakersfield-Muni,0.27,3,0,06029
269,2020-01-02,Azusa,0.22,3,0,06037
272,2020-01-02,Glendora - Laurel,0.19,2,0,06037
277,2020-01-02,West Los Angeles - VA Hospital,0.56,6,0,06037
280,2020-01-02,Los Angeles - N. Main Street,0.88,10,0,06037
285,2020-01-02,Reseda,1.19,14,0,06037
289,2020-01-02,Compton,2.31,26,0,06037
292,2020-01-02,Pico Rivera,1.05,12,0,06037
295,2020-01-02,Pomona,0.75,9,0,06037
298,2020-01-02,Pasadena,0.55,6,0,06037
302,2020-01-02,LAX-Hastings,0.93,11,0,06037
306,2020-01-02,Santa Clarita,0.28,3,0,06037
319,2020-01-02,San Rafael,0.66,8,0,06041
347,2020-01-02,Salinas AMS,0.29,3,0,06053
351,2020-01-02,Napa - Napa Valley College,0.72,8,0,06055
355,2020-01-02,Anaheim,1.17,13,0,06059
360,2020-01-02,Anaheim Near Road,1.44,16,0,06059
361,2020-01-02,Mission Viejo,0.4,5,0,06059
365,2020-01-02,La Habra,0.95,11,0,06059
395,2020-01-02,Palm Springs - Fire Station,0.33,4,0,06065
400,2020-01-02,Riverside - Rubidoux,0.58,7,0,06065
406,2020-01-02,Mira Loma - Van Buren,0.82,9,0,06065
411,2020-01-02,Lake Elsinore - W. Flint Street,0.44,5,0,06065
418,2020-01-02,Arden Arcade - Del Paso Manor,1.15,13,0,06067
430,2020-01-02,Bercut Dr,0.88,10,0,06067
449,2020-01-02,Ontario Near Road,0.46,5,0,06071
453,2020-01-02,Upland,0.46,5,0,06071
460,2020-01-02,Fontana - Arrow Highway,0.66,8,0,06071
471,2020-01-02,San Bernadino - 4th Street,0.72,8,0,06071
490,2020-01-02,San Francisco,0.42,5,0,06075
494,2020-01-02,Stockton - Hazelton Street,0.95,11,0,06077
526,2020-01-02,Redwood City,0.77,9,0,06081
533,2020-01-02,Santa Maria - Broadway,0.25,3,0,06083
559,2020-01-02,San Jose - Jackson St.,1.12,13,0,06085
563,2020-01-02,San Jose - Knox Ave,1.21,14,0,06085
589,2020-01-02,Vallejo,1.08,12,0,06095
599,2020-01-02,Sebastopol,0.5,6,0,06097
603,2020-01-02,Modesto - 14th Street,0.94,11,0,06099
647,2020-01-02,Welby - 78th Ave. & Steele St.,0.38,4,0,08001
661,2020-01-02,Denver - CAMP - 2105 Broadway,0.27,3,0,08031
667,2020-01-02,La Casa NCORE - 4545 Navajo St.,0.34,4,0,08031
672,2020-01-02,I25 Denver,0.4,5,0,08031
677,2020-01-02,Colorado Springs - Highway 24,0.69,8,0,08041
691,2020-01-02,Ute 1,0.33,4,0,08067
702,2020-01-02,Fort Collins - CSU - 708 S. Mason St.,0.5,6,0,08069
716,2020-01-02,Greeley - Weld Co. Tower - 3101 35th Ave.,0.3,4,0,08123
722,2020-01-02,Hartford-Huntley,0.65,7,0,09003
729,2020-01-02,Cornwall,0.22,3,0,09005
735,2020-01-02,New Haven - Criscuolo Park,0.46,5,0,09009
759,2020-01-02,MLK,0.4,5,0,10003
779,2020-01-02,DCNearRoad,1.07,12,0,11001
793,2020-01-02,NCORE,0.16,2,0,12011
798,2020-01-02,Near Road,0.28,3,0,12011
827,2020-01-02,Pepsi Place,0.4,5,0,12031
843,2020-01-02,MUNRO STREET,0.32,4,0,12057
890,2020-01-02,Lab Annex,0.14,2,0,12086
895,2020-01-02,Winter Park,0.4,5,0,12095
913,2020-01-02,Sawgrass Lake Park,0.1,1,0,12103
956,2020-01-02,South DeKalb,0.25,3,0,13089
966,2020-01-02,NR-Georgia Tech,0.59,7,0,13121
995,2020-01-02,Kapolei,0.07,1,0,15003
998,2020-01-02,Honolulu,0.29,3,0,15003
1010,2020-01-02,St. Lukes Meridian,0.22,3,0,16001
1015,2020-01-02,Boise Eastman,0.78,9,0,16001
1127,2020-01-02,Indpls-Washington Park,0.33,4,0,18097
1160,2020-01-02,Evansville-Lloyd,0.45,5,0,18163
1187,2020-01-02,"Davenport, 10th & Vine",0.2,2,0,19163
1244,2020-01-02,Cannons Lane,0.19,2,0,21111
1250,2020-01-02,Near Road,0.33,4,0,21111
1329,2020-01-02,MICMAC,0.51,6,0,23003
1353,2020-01-02,Essex,0.55,6,0,24005
1366,2020-01-02,Piney Run,0.17,2,0,24023
1374,2020-01-02,Howard County Near Road,0.42,5,0,24027
1378,2020-01-02,HU-Beltsville,0.48,6,0,24033
1424,2020-01-02,Boston - Roxbury,0.46,5,0,25025
1429,2020-01-02,Boston-Von Hillern,0.4,5,0,25025
1433,2020-01-02,Worcester,0.35,4,0,25027
1445,2020-01-02,GRAND RAPIDS,0.56,6,0,26081
1463,2020-01-02,ALLEN PARK,0.0,0,0,26163
1471,2020-01-02,Eliza Howell- Roadway,0.68,8,0,26163
1475,2020-01-02,DET POLICE 4TH,0.4,5,0,26163
1478,2020-01-02,TRINITY ST MARKS,0.36,4,0,26163
1484,2020-01-02,Blaine,0.23,3,0,27003
1497,2020-01-02,Lakeville - Near Road,0.3,4,0,27037
1501,2020-01-02,Minneapolis-Downtown,0.4,5,0,27053
1503,2020-01-02,Minneapolis-Near Road,0.4,5,0,27053
1529,2020-01-02,Jackson NCORE,0.42,5,0,28049
1550,2020-01-02,Blue Ridge I-70,0.33,4,0,29095
1563,2020-01-02,BLAIR STREET,0.28,3,0,29510
1570,2020-01-02,Forest Park,0.35,4,0,29510
1582,2020-01-02,West Yellowstone Park Ent #2,0.19,2,0,30031
1619,2020-01-02,NCORE,0.26,3,0,31055
1626,2020-01-02,77th and Dodge,0.55,6,0,31055
1652,2020-01-02,Jerome Mack,1.86,21,0,32003
