,date,sitename,value,aqi_value,aqi_category,fips
0,2020-02-01,Garden,1.33,15,0,02020
1,2020-02-01,NCore,0.5,6,0,02090
2,2020-02-01,Phoenix JLG Supersite,1.05,12,0,04013
3,2020-02-01,Oakland,0.81,9,0,06001
4,2020-02-01,Oakland West,0.95,11,0,06001
5,2020-02-01,Laney College,1.08,12,0,06001
6,2020-02-01,Berkeley Aquatic Park,1.02,12,0,06001
7,2020-02-01,Pleasanton - Owens Ct.,0.78,9,0,06001
8,2020-02-01,Chico -  East,0.54,6,0,06007
9,2020-02-01,Concord,0.67,8,0,06013
10,2020-02-01,Bethel Island,0.75,9,0,06013
11,2020-02-01,San Pablo - Rumrill,0.46,5,0,06013
12,2020-02-01,Fresno - Garland,1.17,13,0,06019
13,2020-02-01,Clovis - N. Villa Ave,0.64,7,0,06019
14,2020-02-01,Calexico - Ethel Street,0.93,11,0,06025
15,2020-02-01,NCore - White Mountain Research Station - OVL,0.11,1,0,06027
16,2020-02-01,Bakersfield-Muni,0.27,3,0,06029
17,2020-02-01,Azusa,0.22,3,0,06037
18,2020-02-01,Glendora - Laurel,0.19,2,0,06037
19,2020-02-01,West Los Angeles - VA Hospital,0.56,6,0,06037
20,2020-02-01,Los Angeles - N. Main Street,0.88,10,0,06037
21,2020-02-01,Reseda,1.19,14,0,06037
22,2020-02-01,Compton,2.31,26,0,06037
23,2020-02-01,Pico Rivera,1.05,12,0,06037
24,2020-02-01,Pomona,0.75,9,0,06037
25,2020-02-01,Pasadena,0.55,6,0,06037
26,2020-02-01,LAX-Hastings,0.93,11,0,06037
27,2020-02-01,Santa Clarita,0.28,3,0,06037
28,2020-02-01,San Rafael,0.66,8,0,06041
29,2020-02-01,Salinas AMS,0.29,3,0,06053
30,2020-02-01,Napa - Napa Valley College,0.72,8,0,06055
31,2020-02-01,Anaheim,1.17,13,0,06059
32,2020-02-01,Anaheim Near Road,1.44,16,0,06059
33,2020-02-01,Mission Viejo,0.4,5,0,06059
34,2020-02-01,La Habra,0.95,11,0,06059
35,2020-02-01,Palm Springs - Fire Station,0.33,4,0,06065
36,2020-02-01,Riverside - Rubidoux,0.58,7,0,06065
37,2020-02-01,Mira Loma - Van Buren,0.82,9,0,06065
38,2020-02-01,Lake Elsinore - W. Flint Street,0.44,5,0,06065
39,2020-02-01,Arden Arcade - Del Paso Manor,1.15,13,0,06067
40,2020-02-01,Bercut Dr,0.88,10,0,06067
41,2020-02-01,Ontario Near Road,0.46,5,0,06071
42,2020-02-01,Upland,0.46,5,0,06071
43,2020-02-01,Fontana - Arrow Highway,0.66,8,0,06071
44,2020-02-01,San Bernadino - 4th Street,0.72,8,0,06071
45,2020-02-01,San Francisco,0.42,5,0,06075
46,2020-02-01,Stockton - Hazelton Street,0.95,11,0,06077
47,2020-02-01,Redwood City,0.77,9,0,06081
48,2020-02-01,Santa Maria - Broadway,0.25,3,0,06083
49,2020-02-01,San Jose - Jackson St.,1.12,13,0,06085
50,2020-02-01,San Jose - Knox Ave,1.21,14,0,06085
51,2020-02-01,Vallejo,1.08,12,0,06095
52,2020-02-01,Sebastopol,0.5,6,0,06097
53,2020-02-01,Modesto - 14th Street,0.94,11,0,06099
54,2020-02-01,Welby - 78th Ave. & Steele St.,0.38,4,0,08001
55,2020-02-01,Denver - CAMP - 2105 Broadway,0.27,3,0,08031
56,2020-02-01,La Casa NCORE - 4545 Navajo St.,0.34,4,0,08031
57,2020-02-01,I25 Denver,0.4,5,0,08031
58,2020-02-01,Colorado Springs - Highway 24,0.69,8,0,08041
59,2020-02-01,Ute 1,0.33,4,0,08067
60,2020-02-01,Fort Collins - CSU - 708 S. Mason St.,0.5,6,0,08069
61,2020-02-01,Greeley - Weld Co. Tower - 3101 35th Ave.,0.3,4,0,08123
62,2020-02-01,Hartford-Huntley,0.65,7,0,09003
63,2020-02-01,Cornwall,0.22,3,0,09005
64,2020-02-01,New Haven - Criscuolo Park,0.46,5,0,09009
65,2020-02-01,MLK,0.4,5,0,10003
66,2020-02-01,DCNearRoad,1.07,12,0,11001
67,2020-02-01,NCORE,0.16,2,0,12011
68,2020-02-01,Near Road,0.28,3,0,12011
69,2020-02-01,Pepsi Place,0.4,5,0,12031
70,2020-02-01,MUNRO STREET,0.32,4,0,12057
71,2020-02-01,Lab Annex,0.14,2,0,12086
72,2020-02-01,Winter Park,0.4,5,0,12095
73,2020-02-01,Sawgrass Lake Park,0.1,1,0,12103
74,2020-02-01,South DeKalb,0.25,3,0,13089
75,2020-02-01,NR-Georgia Tech,0.59,7,0,13121
76,2020-02-01,Kapolei,0.07,1,0,15003
77,2020-02-01,Honolulu,0.29,3,0,15003
78,2020-02-01,St. Lukes Meridian,0.22,3,0,16001
79,2020-02-01,Boise Eastman,0.78,9,0,16001
80,2020-02-01,Indpls-Washington Park,0.33,4,0,18097
81,2020-02-01,Evansville-Lloyd,0.45,5,0,18163
82,2020-02-01,"Davenport, 10th & Vine",0.2,2,0,19163
83,2020-02-01,Cannons Lane,0.19,2,0,21111
84,2020-02-01,Near Road,0.33,4,0,21111
85,2020-02-01,MICMAC,0.51,6,0,23003
86,2020-02-01,Essex,0.55,6,0,24005
87,2020-02-01,Piney Run,0.17,2,0,24023
88,2020-02-01,Howard County Near Road,0.42,5,0,24027
89,2020-02-01,HU-Beltsville,0.48,6,0,24033
90,2020-02-01,Boston - Roxbury,0.46,5,0,25025
91,2020-02-01,Boston-Von Hillern,0.4,5,0,25025
92,2020-02-01,Worcester,0.35,4,0,25027
93,2020-02-01,GRAND RAPIDS,0.56,6,0,26081
94,2020-02-01,ALLEN PARK,0.0,0,0,26163
95,2020-02-01,Eliza Howell- Roadway,0.68,8,0,26163
