,county,state,population,full_county
0,Autauga,AL,55869,"Autauga, AL"
1,Baldwin,AL,223234,"Baldwin, AL"
2,Barbour,AL,24686,"Barbour, AL"
3,Bibb,AL,22394,"Bibb, AL"
4,Blount,AL,57826,"Blount, AL"
5,Bullock,AL,10101,"Bullock, AL"
6,Butler,AL,19448,"Butler, AL"
7,Calhoun,AL,113605,"Calhoun, AL"
8,Chambers,AL,33254,"Chambers, AL"
9,Cherokee,AL,26196,"Cherokee, AL"
10,Chilton,AL,44428,"Chilton, AL"
11,Choctaw,AL,12589,"Choctaw, AL"
12,Clarke,AL,23622,"Clarke, AL"
13,Clay,AL,13235,"Clay, AL"
14,Cleburne,AL,14910,"Cleburne, AL"
15,Coffee,AL,52342,"Coffee, AL"
16,Colbert,AL,55241,"Colbert, AL"
17,Conecuh,AL,12067,"Conecuh, AL"
18,Coosa,AL,10663,"Coosa, AL"
19,Covington,AL,37049,"Covington, AL"
20,Crenshaw,AL,13772,"Crenshaw, AL"
21,Cullman,AL,83768,"Cullman, AL"
22,Dale,AL,49172,"Dale, AL"
23,Dallas,AL,37196,"Dallas, AL"
24,DeKalb,AL,71513,"DeKalb, AL"
25,Elmore,AL,81209,"Elmore, AL"
26,Escambia,AL,36633,"Escambia, AL"
27,Etowah,AL,102268,"Etowah, AL"
28,Fayette,AL,16302,"Fayette, AL"
29,Franklin,AL,31362,"Franklin, AL"
30,Geneva,AL,26271,"Geneva, AL"
31,Greene,AL,8111,"Greene, AL"
32,Hale,AL,14651,"Hale, AL"
33,Henry,AL,17205,"Henry, AL"
34,Houston,AL,105882,"Houston, AL"
35,Jackson,AL,51626,"Jackson, AL"
36,Jefferson,AL,658573,"Jefferson, AL"
37,Lamar,AL,13805,"Lamar, AL"
38,Lauderdale,AL,92729,"Lauderdale, AL"
39,Lawrence,AL,32924,"Lawrence, AL"
40,Lee,AL,164542,"Lee, AL"
41,Limestone,AL,98915,"Limestone, AL"
42,Lowndes,AL,9726,"Lowndes, AL"
43,Macon,AL,18068,"Macon, AL"
44,Madison,AL,372909,"Madison, AL"
45,Marengo,AL,18863,"Marengo, AL"
46,Marion,AL,29709,"Marion, AL"
47,Marshall,AL,96774,"Marshall, AL"
48,Mobile,AL,413210,"Mobile, AL"
49,Monroe,AL,20733,"Monroe, AL"
50,Montgomery,AL,226486,"Montgomery, AL"
51,Morgan,AL,119679,"Morgan, AL"
52,Perry,AL,8923,"Perry, AL"
53,Pickens,AL,19930,"Pickens, AL"
54,Pike,AL,33114,"Pike, AL"
55,Randolph,AL,22722,"Randolph, AL"
56,Russell,AL,57961,"Russell, AL"
57,St. Clair,AL,89512,"St. Clair, AL"
58,Shelby,AL,217702,"Shelby, AL"
59,Sumter,AL,12427,"Sumter, AL"
60,Talladega,AL,79978,"Talladega, AL"
61,Tallapoosa,AL,40367,"Tallapoosa, AL"
62,Tuscaloosa,AL,209355,"Tuscaloosa, AL"
63,Walker,AL,63521,"Walker, AL"
64,WA,AL,16326,"WA, AL"
65,Wilcox,AL,10373,"Wilcox, AL"
66,Winston,AL,23629,"Winston, AL"
67,Aleutians East ,AK,3337,"Aleutians East , AK"
68,Aleutians West Cens,AK,5634,"Aleutians West Cens, AK"
69,Anchorage Munic,AK,288000,"Anchorage Munic, AK"
70,Bethel Cens,AK,18386,"Bethel Cens, AK"
71,Bristol Bay ,AK,836,"Bristol Bay , AK"
72,Denali ,AK,2097,"Denali , AK"
73,Dillingham Cens,AK,4916,"Dillingham Cens, AK"
74,Fairbanks North Star ,AK,96849,"Fairbanks North Star , AK"
75,Haines ,AK,2530,"Haines , AK"
76,Hoonah-Angoon Cens,AK,2148,"Hoonah-Angoon Cens, AK"
77,Juneau City and ,AK,31974,"Juneau City and , AK"
78,Kenai Peninsula ,AK,58708,"Kenai Peninsula , AK"
79,Ketchikan Gateway ,AK,13901,"Ketchikan Gateway , AK"
80,Kodiak Island ,AK,12998,"Kodiak Island , AK"
81,Kusilvak Cens,AK,8314,"Kusilvak Cens, AK"
82,Lake and Peninsula ,AK,1592,"Lake and Peninsula , AK"
83,Matanuska-Susitna ,AK,108317,"Matanuska-Susitna , AK"
84,Nome Cens,AK,10004,"Nome Cens, AK"
85,North Slope ,AK,9832,"North Slope , AK"
86,Northwest Arctic ,AK,7621,"Northwest Arctic , AK"
87,Petersburg ,AK,3266,"Petersburg , AK"
88,Prince of Wales-Hyder Cens,AK,6203,"Prince of Wales-Hyder Cens, AK"
89,Sitka City and ,AK,8493,"Sitka City and , AK"
90,Skagway Munic,AK,1183,"Skagway Munic, AK"
91,Southeast Fairbanks Cens,AK,6893,"Southeast Fairbanks Cens, AK"
92,Valdez-Cordova Cens,AK,9202,"Valdez-Cordova Cens, AK"
93,Wrangell City and ,AK,2502,"Wrangell City and , AK"
94,Yakutat City and ,AK,579,"Yakutat City and , AK"
95,Yukon-Koyukuk Cens,AK,5230,"Yukon-Koyukuk Cens, AK"
96,Apache,AZ,71887,"Apache, AZ"
97,Cochise,AZ,125922,"Cochise, AZ"
98,Coconino,AZ,143476,"Coconino, AZ"
99,Gila,AZ,54018,"Gila, AZ"
100,Graham,AZ,38837,"Graham, AZ"
101,Greenlee,AZ,9498,"Greenlee, AZ"
102,La Paz,AZ,21108,"La Paz, AZ"
103,Maricopa,AZ,4485414,"Maricopa, AZ"
104,Mohave,AZ,212181,"Mohave, AZ"
105,Navajo,AZ,110924,"Navajo, AZ"
106,Pima,AZ,1047279,"Pima, AZ"
107,Pinal,AZ,462789,"Pinal, AZ"
108,Santa Cruz,AZ,46498,"Santa Cruz, AZ"
109,Yavapai,AZ,235099,"Yavapai, AZ"
110,Yuma,AZ,213787,"Yuma, AZ"
111,AR,AR,17486,"AR, AR"
112,Ashley,AR,19657,"Ashley, AR"
113,Baxter,AR,41932,"Baxter, AR"
114,Benton,AR,279141,"Benton, AR"
115,Boone,AR,37432,"Boone, AR"
116,Bradley,AR,10763,"Bradley, AR"
117,Calhoun,AR,5189,"Calhoun, AR"
118,Carroll,AR,28380,"Carroll, AR"
119,Chicot,AR,10118,"Chicot, AR"
120,Clark,AR,22320,"Clark, AR"
121,Clay,AR,14551,"Clay, AR"
122,Cleburne,AR,24919,"Cleburne, AR"
123,Cleveland,AR,7956,"Cleveland, AR"
124,Columbia,AR,23457,"Columbia, AR"
125,Conway,AR,20846,"Conway, AR"
126,Craighead,AR,110332,"Craighead, AR"
127,Crawford,AR,63257,"Crawford, AR"
128,Crittenden,AR,47955,"Crittenden, AR"
129,Cross,AR,16419,"Cross, AR"
130,Dallas,AR,7009,"Dallas, AR"
131,Desha,AR,11361,"Desha, AR"
132,Drew,AR,18219,"Drew, AR"
133,Faulkner,AR,126007,"Faulkner, AR"
134,Franklin,AR,17715,"Franklin, AR"
135,Fulton,AR,12477,"Fulton, AR"
136,Garland,AR,99386,"Garland, AR"
137,Grant,AR,18265,"Grant, AR"
138,Greene,AR,45325,"Greene, AR"
139,Hempstead,AR,21532,"Hempstead, AR"
140,Hot Spring,AR,33771,"Hot Spring, AR"
141,Howard,AR,13202,"Howard, AR"
142,Independence,AR,37825,"Independence, AR"
143,Izard,AR,13629,"Izard, AR"
144,Jackson,AR,16719,"Jackson, AR"
145,Jefferson,AR,66824,"Jefferson, AR"
