,date,sitename,value,aqi_value,aqi_category,fips
4,2020-01-02,NO. BHAM,15.0,15,0,01073
6,2020-01-02,WYLAM,9.0,9,0,01073
12,2020-01-02,Garden,13.0,13,0,02020
14,2020-01-02,Parkgate (Eagle River),3.0,4,0,02020
15,2020-01-02,Bethel,4.0,5,0,02050
22,2020-01-02,NCore,22.0,20,0,02090
26,2020-01-02,Floyd Dryden,2.0,3,0,02110
28,2020-01-02,Butte (Harrison Court),9.0,8,0,02170
30,2020-01-02,Paul Spur Chemical Lime Plant,6.0,6,0,04003
31,2020-01-02,Douglas Red Cross,12.0,11,0,04003
38,2020-01-02,Payson Well Site,23.0,22,0,04007
43,2020-01-02,Hayden,7.0,6,0,04007
45,2020-01-02,Miami Golf Course,15.0,14,0,04007
48,2020-01-02,Alamo Lake,5.0,6,0,04012
50,2020-01-02,StJohns,18.0,17,0,04013
53,2020-01-02,Senior Center,25.0,23,0,04013
58,2020-01-02,LEHI,14.0,13,0,04013
61,2020-01-02,High School,18.0,18,0,04013
65,2020-01-02,Phoenix JLG Supersite,55.0,51,1,04013
68,2020-01-02,Bullhead City,2.0,2,0,04015
71,2020-01-02,Ajo,7.0,7,0,04019
72,2020-01-02,Orange Grove,25.0,23,0,04019
74,2020-01-02,Rillito,30.0,29,0,04019
77,2020-01-02,South Tucson,29.0,27,0,04019
89,2020-01-02,Green Valley,6.0,6,0,04019
95,2020-01-02,Geronimo,31.0,29,0,04019
97,2020-01-02,Sacaton,19.0,19,0,04021
98,2020-01-02,CasaBlanca,30.0,29,0,04021
101,2020-01-02,Nogales Post Office,70.0,58,1,04023
107,2020-01-02,Yuma Supersite,38.0,36,0,04027
158,2020-01-02,Chico -  East,21.0,20,0,06007
164,2020-01-02,San Andreas,16.0,15,0,06009
168,2020-01-02,Colusa - Sunrise Blvd.,19.0,18,0,06011
189,2020-01-02,South Lake Tahoe - Sandy Way,11.0,11,0,06017
195,2020-01-02,Fresno - Garland,44.0,41,0,06019
209,2020-01-02,Willows-Colusa,16.0,15,0,06021
216,2020-01-02,Calexico - Ethel Street,68.0,58,1,06025
219,2020-01-02,Brawley - 220 Main Street,18.0,18,0,06025
222,2020-01-02,El Centro - 9th Street,22.0,21,0,06025
225,2020-01-02,Westmorland - 570 Cook St,19.0,19,0,06025
228,2020-01-02,Niland - English Road,12.0,11,0,06025
232,2020-01-02,NCore - White Mountain Research Station - OVL,0.0,1,0,06027
235,2020-01-02,Lone Pine,9.0,9,0,06027
236,2020-01-02,Dirty Socks,4.0,5,0,06027
237,2020-01-02,Shell Cut,4.0,4,0,06027
238,2020-01-02,Bill Stanley,3.0,4,0,06027
239,2020-01-02,Lizard Tail,4.0,4,0,06027
240,2020-01-02,North Beach,5.0,6,0,06027
241,2020-01-02,Mill Site,4.0,5,0,06027
244,2020-01-02,Coso Junction,5.0,5,0,06027
245,2020-01-02,Keeler,8.0,8,0,06027
253,2020-01-02,Mojave - 923 Poole St.,7.0,6,0,06029
260,2020-01-02,Oildale - 3311 Manor Street,41.0,39,0,06029
275,2020-01-02,Glendora - Laurel,7.0,7,0,06037
283,2020-01-02,Los Angeles - N. Main Street,28.0,27,0,06037
