,date,sitename,value,aqi_value,aqi_category,fips
0,2020-02-01,NO. BHAM,15.0,15,0,01073
1,2020-02-01,WYLAM,9.0,9,0,01073
2,2020-02-01,Garden,13.0,13,0,02020
3,2020-02-01,Parkgate (Eagle River),3.0,4,0,02020
4,2020-02-01,Bethel,4.0,5,0,02050
5,2020-02-01,NCore,22.0,20,0,02090
6,2020-02-01,Floyd Dryden,2.0,3,0,02110
7,2020-02-01,Butte (Harrison Court),9.0,8,0,02170
8,2020-02-01,Paul Spur Chemical Lime Plant,6.0,6,0,04003
9,2020-02-01,Douglas Red Cross,12.0,11,0,04003
10,2020-02-01,Payson Well Site,23.0,22,0,04007
11,2020-02-01,Hayden,7.0,6,0,04007
12,2020-02-01,Miami Golf Course,15.0,14,0,04007
13,2020-02-01,Alamo Lake,5.0,6,0,04012
14,2020-02-01,StJohns,18.0,17,0,04013
15,2020-02-01,Senior Center,25.0,23,0,04013
16,2020-02-01,LEHI,14.0,13,0,04013
17,2020-02-01,High School,18.0,18,0,04013
18,2020-02-01,Phoenix JLG Supersite,55.0,51,1,04013
19,2020-02-01,Bullhead City,2.0,2,0,04015
20,2020-02-01,Ajo,7.0,7,0,04019
21,2020-02-01,Orange Grove,25.0,23,0,04019
22,2020-02-01,Rillito,30.0,29,0,04019
23,2020-02-01,South Tucson,29.0,27,0,04019
24,2020-02-01,Green Valley,6.0,6,0,04019
25,2020-02-01,Geronimo,31.0,29,0,04019
26,2020-02-01,Sacaton,19.0,19,0,04021
27,2020-02-01,CasaBlanca,30.0,29,0,04021
28,2020-02-01,Nogales Post Office,70.0,58,1,04023
29,2020-02-01,Yuma Supersite,38.0,36,0,04027
30,2020-02-01,Chico -  East,21.0,20,0,06007
31,2020-02-01,San Andreas,16.0,15,0,06009
32,2020-02-01,Colusa - Sunrise Blvd.,19.0,18,0,06011
33,2020-02-01,South Lake Tahoe - Sandy Way,11.0,11,0,06017
34,2020-02-01,Fresno - Garland,44.0,41,0,06019
35,2020-02-01,Willows-Colusa,16.0,15,0,06021
36,2020-02-01,Calexico - Ethel Street,68.0,58,1,06025
37,2020-02-01,Brawley - 220 Main Street,18.0,18,0,06025
38,2020-02-01,El Centro - 9th Street,22.0,21,0,06025
39,2020-02-01,Westmorland - 570 Cook St,19.0,19,0,06025
40,2020-02-01,Niland - English Road,12.0,11,0,06025
41,2020-02-01,NCore - White Mountain Research Station - OVL,0.0,1,0,06027
42,2020-02-01,Lone Pine,9.0,9,0,06027
43,2020-02-01,Dirty Socks,4.0,5,0,06027
44,2020-02-01,Shell Cut,4.0,4,0,06027
45,2020-02-01,Bill Stanley,3.0,4,0,06027
46,2020-02-01,Lizard Tail,4.0,4,0,06027
47,2020-02-01,North Beach,5.0,6,0,06027
48,2020-02-01,Mill Site,4.0,5,0,06027
49,2020-02-01,Coso Junction,5.0,5,0,06027
50,2020-02-01,Keeler,8.0,8,0,06027
51,2020-02-01,Mojave - 923 Poole St.,7.0,6,0,06029
52,2020-02-01,Oildale - 3311 Manor Street,41.0,39,0,06029
53,2020-02-01,Glendora - Laurel,7.0,7,0,06037
54,2020-02-01,Los Angeles - N. Main Street,28.0,27,0,06037
55,2020-02-01,Lancaster-Division,19.0,19,0,06037
56,2020-02-01,Madera-City,27.0,26,0,06039
57,2020-02-01,Yosemite Village - Visitor Center,30.0,29,0,06043
58,2020-02-01,Fort Bragg High School,7.0,7,0,06045
59,2020-02-01,Mammoth Lakes,32.0,30,0,06051
60,2020-02-01,Lee Vining,3.0,4,0,06051
61,2020-02-01,Mono Shore,2.0,3,0,06051
62,2020-02-01,King City AMS,8.0,7,0,06053
63,2020-02-01,Anaheim,32.0,30,0,06059
64,2020-02-01,Roseville - N.Sunrise/Douglas,23.0,21,0,06061
65,2020-02-01,Indio - Jackson Street,23.0,21,0,06065
66,2020-02-01,Saul Martinez,21.0,20,0,06065
67,2020-02-01,Palm Springs - Fire Station,12.0,11,0,06065
68,2020-02-01,Riverside - Rubidoux,38.0,35,0,06065
69,2020-02-01,Mira Loma - Van Buren,46.0,44,0,06065
70,2020-02-01,Lake Elsinore - W. Flint Street,15.0,14,0,06065
71,2020-02-01,Downtown Sacramento - T Street,33.0,31,0,06067
72,2020-02-01,Hollister AMS,15.0,15,0,06069
73,2020-02-01,Barstow,21.0,19,0,06071
74,2020-02-01,Lucerne Valley,16.0,15,0,06071
75,2020-02-01,Upland,15.0,15,0,06071
76,2020-02-01,Trona - Athol and Telegraph,13.0,12,0,06071
77,2020-02-01,Hesperia - Olive Street,26.0,24,0,06071
78,2020-02-01,San Bernadino - 4th Street,23.0,22,0,06071
79,2020-02-01,TracyAP,21.0,20,0,06077
80,2020-02-01,Paso Robles - Santa Fe Ave,15.0,15,0,06079
81,2020-02-01,Mesa 2 /Nipomo,17.0,17,0,06079
82,2020-02-01,San Luis Obispo - Higuera St,13.0,13,0,06079
83,2020-02-01,Nipomo Mesa CDF,24.0,22,0,06079
84,2020-02-01,Nipomo RP,13.0,13,0,06079
85,2020-02-01,Atascadero2,15.0,14,0,06079
86,2020-02-01,Santa Maria - Broadway,17.0,17,0,06083
87,2020-02-01,Las Flores Canyon,6.0,6,0,06083
88,2020-02-01,Lompoc H Street,12.0,12,0,06083
89,2020-02-01,Goleta,15.0,14,0,06083
