,date,sitename,value,fips
24,2020-01-02,NCore,3.0,02090
41,2020-01-02,Miami Jones Ranch,2.0,04007
42,2020-01-02,Miami Town Site,3.0,04007
44,2020-01-02,Hayden,0.0,04007
67,2020-01-02,Phoenix JLG Supersite,1.0,04013
140,2020-01-02,Oakland West,0.0,06001
174,2020-01-02,Concord,0.0,06013
175,2020-01-02,Richmond - 7th St,1.0,06013
179,2020-01-02,Bethel Island,1.0,06013
184,2020-01-02,San Pablo - Rumrill,1.0,06013
197,2020-01-02,Fresno - Garland,0.0,06019
218,2020-01-02,Calexico - Ethel Street,0.0,06025
234,2020-01-02,NCore - White Mountain Research Station - OVL,0.0,06027
305,2020-01-02,LAX-Hastings,0.0,06037
405,2020-01-02,Riverside - Rubidoux,0.0,06065
422,2020-01-02,Arden Arcade - Del Paso Manor,0.0,06067
463,2020-01-02,Fontana - Arrow Highway,0.0,06071
507,2020-01-02,Mesa 2 /Nipomo,0.0,06079
593,2020-01-02,Vallejo,0.0,06095
651,2020-01-02,Welby - 78th Ave. & Steele St.,1.0,08001
658,2020-01-02,7004,1.0,08007
665,2020-01-02,Denver - CAMP - 2105 Broadway,0.0,08031
671,2020-01-02,La Casa NCORE - 4545 Navajo St.,0.0,08031
678,2020-01-02,Colorado Springs - Highway 24,0.0,08041
719,2020-01-02,Bridgeport,0.0,09001
734,2020-01-02,Cornwall,0.0,09005
740,2020-01-02,New Haven - Criscuolo Park,0.0,09009
751,2020-01-02,LUMS 2,0.0,10003
753,2020-01-02,Rte 9 Del. City,0.0,10003
758,2020-01-02,BELLFNT2,0.0,10003
763,2020-01-02,MLK,0.0,10003
776,2020-01-02,McMillan NCORE,1.0,11001
797,2020-01-02,NCORE,1.0,12011
806,2020-01-02,Crystal River Preserve,0.0,12017
815,2020-01-02,Kooker Park,0.0,12031
819,2020-01-02,Cedar Bay,1.0,12031
842,2020-01-02,APOLLO BEACH,0.0,12057
847,2020-01-02,DAVIS ISLAND,0.0,12057
871,2020-01-02,Port Manatee,0.0,12081
891,2020-01-02,FBHWWTP,3.0,12089
899,2020-01-02,Winter Park,0.0,12095
919,2020-01-02,Sikes Elementary School,0.0,12105
949,2020-01-02,Macon Forestry,0.0,13021
950,2020-01-02,Savannah East President,2.0,13051
953,2020-01-02,Savannah L&A,0.0,13051
961,2020-01-02,South DeKalb,0.0,13089
963,2020-01-02,Rome-Kraftsman,0.0,13115
965,2020-01-02,United Ave,0.0,13121
981,2020-01-02,Augusta,0.0,13245
