,date,sitename,value,fips
0,2020-02-01,NCore,3.0,02090
1,2020-02-01,Miami Jones Ranch,2.0,04007
2,2020-02-01,Miami Town Site,3.0,04007
3,2020-02-01,Hayden,0.0,04007
4,2020-02-01,Phoenix JLG Supersite,1.0,04013
5,2020-02-01,Oakland West,0.0,06001
6,2020-02-01,Concord,0.0,06013
7,2020-02-01,Richmond - 7th St,1.0,06013
8,2020-02-01,Bethel Island,1.0,06013
9,2020-02-01,San Pablo - Rumrill,1.0,06013
10,2020-02-01,Fresno - Garland,0.0,06019
11,2020-02-01,Calexico - Ethel Street,0.0,06025
12,2020-02-01,NCore - White Mountain Research Station - OVL,0.0,06027
13,2020-02-01,LAX-Hastings,0.0,06037
14,2020-02-01,Riverside - Rubidoux,0.0,06065
15,2020-02-01,Arden Arcade - Del Paso Manor,0.0,06067
16,2020-02-01,Fontana - Arrow Highway,0.0,06071
17,2020-02-01,Mesa 2 /Nipomo,0.0,06079
18,2020-02-01,Vallejo,0.0,06095
19,2020-02-01,Welby - 78th Ave. & Steele St.,1.0,08001
20,2020-02-01,7004,1.0,08007
21,2020-02-01,Denver - CAMP - 2105 Broadway,0.0,08031
22,2020-02-01,La Casa NCORE - 4545 Navajo St.,0.0,08031
23,2020-02-01,Colorado Springs - Highway 24,0.0,08041
24,2020-02-01,Bridgeport,0.0,09001
25,2020-02-01,Cornwall,0.0,09005
26,2020-02-01,New Haven - Criscuolo Park,0.0,09009
27,2020-02-01,LUMS 2,0.0,10003
28,2020-02-01,Rte 9 Del. City,0.0,10003
29,2020-02-01,BELLFNT2,0.0,10003
30,2020-02-01,MLK,0.0,10003
31,2020-02-01,McMillan NCORE,1.0,11001
32,2020-02-01,NCORE,1.0,12011
33,2020-02-01,Crystal River Preserve,0.0,12017
34,2020-02-01,Kooker Park,0.0,12031
35,2020-02-01,Cedar Bay,1.0,12031
36,2020-02-01,APOLLO BEACH,0.0,12057
37,2020-02-01,DAVIS ISLAND,0.0,12057
38,2020-02-01,Port Manatee,0.0,12081
39,2020-02-01,FBHWWTP,3.0,12089
40,2020-02-01,Winter Park,0.0,12095
41,2020-02-01,Sikes Elementary School,0.0,12105
42,2020-02-01,Macon Forestry,0.0,13021
43,2020-02-01,Savannah East President,2.0,13051
44,2020-02-01,Savannah L&A,0.0,13051
45,2020-02-01,South DeKalb,0.0,13089
46,2020-02-01,Rome-Kraftsman,0.0,13115
47,2020-02-01,United Ave,0.0,13121
48,2020-02-01,Augusta,0.0,13245
49,2020-02-01,Hawaii Volcanoes NP - Visitor's Center,0.0,15001
50,2020-02-01,Hilo,1.0,15001
51,2020-02-01,Kona,0.0,15001
52,2020-02-01,Pahala,1.0,15001
53,2020-02-01,Ocean View,0.0,15001
54,2020-02-01,Mountain View,2.0,15001
55,2020-02-01,Kapolei,0.0,15003
56,2020-02-01,Honolulu,0.0,15003
57,2020-02-01,St. Lukes Meridian,0.0,16001
58,2020-02-01,Pocatello STP,1.0,16005
59,2020-02-01,Soda Springs Monsanto,1.0,16029
60,2020-02-01,New Albany,0.0,18043
61,2020-02-01,Gary-IITRI,0.0,18089
62,2020-02-01,Hammond-141st St,0.0,18089
63,2020-02-01,Indpls-Harding St,0.0,18097
64,2020-02-01,Indpls-Washington Park,0.0,18097
65,2020-02-01,Evansville-Buena Vista,0.0,18163
66,2020-02-01,Terre Haute-Lafayette Ave,1.0,18167
67,2020-02-01,"Clinton, Chancy Park",0.0,19045
68,2020-02-01,PUBLIC HEALTH,0.0,19113
69,2020-02-01,TAIT CUMMINS,0.0,19113
70,2020-02-01,"Muscatine, Greenwood",0.0,19139
71,2020-02-01,"Muscatine, High School East Campus",0.0,19139
72,2020-02-01,"Muscatine, Musser Park",0.0,19139
73,2020-02-01,"Davenport, 10th & Vine",0.0,19163
74,2020-02-01,Lake Sugema,0.0,19177
75,2020-02-01,Chanute,0.0,20133
76,2020-02-01,Cedar Bluff,-2.0,20195
77,2020-02-01,WY/KC,1.0,20209
78,2020-02-01,WATSON,1.0,21111
79,2020-02-01,Cannons Lane,0.0,21111
80,2020-02-01,Firearms Training,1.0,21111
81,2020-02-01,Chalmette Vista,0.0,22087
82,2020-02-01,MICMAC,0.0,23003
83,2020-02-01,Portland - Deering Oaks,0.0,23005
84,2020-02-01,Acadia NP - McFarland,0.0,23009
85,2020-02-01,Moran,0.0,24001
86,2020-02-01,Horse Rock,1.0,24001
87,2020-02-01,Riviera Beach,1.0,24003
88,2020-02-01,Essex,0.0,24005
89,2020-02-01,Horn Point,0.0,24019
90,2020-02-01,Piney Run,0.0,24023
91,2020-02-01,HU-Beltsville,0.0,24033
92,2020-02-01,Fall River,0.0,25005
93,2020-02-01,SPRINGFIELDSP,0.0,25013
94,2020-02-01,WARE,0.0,25015
95,2020-02-01,BOSTON-KENMORE,0.0,25025
96,2020-02-01,Boston - Roxbury,0.0,25025
97,2020-02-01,Worcester,0.0,25027
98,2020-02-01,LANSING FILLEY ST,0.0,26065
99,2020-02-01,GRAND RAPIDS,0.0,26081
100,2020-02-01,MONROE STERLING ST PK,0.0,26115
101,2020-02-01,WEST OLIVE,0.0,26139
102,2020-02-01,PORT HURON,1.0,26147
103,2020-02-01,ALLEN PARK,0.0,26163
104,2020-02-01,DETROIT - SOUTHWEST ,0.0,26163
105,2020-02-01,NMH48217,0.0,26163
106,2020-02-01,DET POLICE 4TH,1.0,26163
107,2020-02-01,TRINITY ST MARKS,0.0,26163
